Day,Month,Year,Date,Week,Day Of Week,Occupancy,Occupancy_%,Average_Daily_Rate,Average_Daily_Rate_%,Revenue_Per_Available_Room,Revenue_per_room_%,Supply,Supply_%,Demand,Demand_%,Revenue,Revenue_%,Number_Of_Hotels,Number_Of_Rooms
1,11,2014,11/1/2014,201444,Saturday,49.1,,11640.03,,5717.67,,7286,,3579,,41658958,,93,7286
2,11,2014,11/2/2014,201445,Sunday,29.1,,10659.37,,3106.67,,7286,,2124,,22635212,,93,7286
3,11,2014,11/3/2014,201445,Monday,41.2,,12222.01,,5029.64,,7286,,2998,,36645940,,93,7286
4,11,2014,11/4/2014,201445,Tuesday,49.9,,10941.91,,5458.36,,7286,,3635,,39769581,,93,7286
5,11,2014,11/5/2014,201445,Wednesday,61.2,,12273.43,,7515.91,,7286,,4462,,54760921,,93,7286
6,11,2014,11/6/2014,201445,Thursday,74.2,,10520.59,,7809.11,,7286,,5408,,56897207,,93,7286
7,11,2014,11/7/2014,201445,Friday,42.6,,9655.63,,4110.53,,7286,,3102,,29949317,,93,7286
8,11,2014,11/8/2014,201445,Saturday,29.5,,9671.62,,2850.47,,7286,,2147,,20768492,,93,7286
9,11,2014,11/9/2014,201446,Sunday,41.6,,12019.37,,4998.73,,7286,,303,,36420717,,93,7286
10,11,2014,11/10/2014,201446,Monday,49.8,,11751.27,,5849.28,,7286,,3627,,42617831,,93,7286
11,11,2014,11/11/2014,201446,Tuesday,61.9,,10174.38,,6297.15,,7286,,4509,,45880999,,93,7286
12,11,2014,11/12/2014,201446,Wednesday,58,,10489.01,,6079.69,,7286,,4223,,44296640,,93,7286
13,11,2014,11/13/2014,201446,Thursday,84.1,,9963.1,,8374.1,,7286,,6124,,61013670,,93,7286
14,11,2014,11/14/2014,201446,Friday,82.6,,8495.47,,7019.98,,7286,,6021,,51147587,,93,7286
15,11,2014,11/15/2014,201446,Saturday,73.1,,7969.52,,5828.54,,7286,,5329,,42466707,,93,7286
16,11,2014,11/16/2014,201447,Sunday,35,,10126.43,,3548.25,,7286,,2553,,25852543,,93,7286
